timepoint,Epithelial,Hybrid,Mesenchymal
0,0.802941176470588,0.154411764705883,0.0426470588235294
0.33,0.633548387096774,0.305161290322581,0.0612903225806452
1,0.273611111111111,0.431481481481481,0.294907407407408
3,0.0158415841584158,0.179207920792079,0.804950495049505
7,0,0.177777777777778,0.822222222222222
7.33,0,0.211627906976744,0.788372093023256
8,0,0.155555555555556,0.844444444444444
10,0.560869565217392,0.406521739130435,0.0326086956521739
