timepoint,G1_phase,S_phase,G2M_phase
0,0.237435008665511,0.400346620450607,0.362218370883882
0.33,0.315254237288136,0.317514124293785,0.367231638418079
1,0.446700507614213,0.336294416243655,0.217005076142132
3,0.250663129973475,0.407161803713528,0.342175066312997
7,0.37984496124031,0.310077519379845,0.310077519379845
7.33,0.365546218487395,0.298319327731092,0.336134453781513
8,0.367741935483871,0.309677419354839,0.32258064516129
10,0.404761904761905,0.333333333333333,0.261904761904762
