timepoint,Epithelial,Hybrid,Mesenchymal
0,0.668674698795181,0.299196787148594,0.0321285140562249
0.33,0.607974137931035,0.338793103448276,0.0532327586206896
1,0.334014869888476,0.476579925650558,0.189405204460967
3,0.158215962441315,0.464553990610329,0.377230046948357
7,0.105970149253731,0.34089552238806,0.553134328358209
7.33,0.0944055944055944,0.266083916083916,0.639510489510489
8,0.0718987341772152,0.392658227848101,0.535443037974683
10,0.375625,0.50875,0.115625
