timepoint,Epithelial,Hybrid,Mesenchymal
0,0.270554493307839,0.311472275334608,0.417973231357553
0.33,0.260167714884696,0.348846960167715,0.390985324947589
1,0.266829268292683,0.295121951219512,0.438048780487805
3,0.334123222748815,0.343127962085308,0.322748815165877
7,0.272727272727273,0.277272727272727,0.45
7.33,0.364084507042254,0.377464788732394,0.258450704225352
8,0.359493670886076,0.370886075949367,0.269620253164557
10,0.308163265306123,0.495918367346939,0.195918367346939
