timepoint,Epithelial,Hybrid,Mesenchymal
0,0.490121317157712,0.474003466204506,0.0358752166377816
0.33,0.507570621468926,0.453672316384181,0.0387570621468926
1,0.0642131979695431,0.612817258883249,0.322969543147208
3,0.0190981432360742,0.230238726790451,0.750663129973475
7,0.0170542635658915,0.170542635658915,0.812403100775194
7.33,0.00378151260504202,0.14327731092437,0.852941176470588
8,0.0154838709677419,0.150322580645161,0.834193548387097
10,0.0261904761904762,0.388095238095238,0.585714285714286
