timepoint,G1_phase,S_phase,G2M_phase
0,0.418738049713193,0.35755258126195,0.223709369024857
0.33,0.39622641509434,0.371069182389937,0.232704402515723
1,0.546341463414634,0.278048780487805,0.175609756097561
3,0.516587677725118,0.312796208530806,0.170616113744076
7,0.590909090909091,0.272727272727273,0.136363636363636
7.33,0.612676056338028,0.253521126760563,0.133802816901408
8,0.594936708860759,0.240506329113924,0.164556962025316
10,0.36734693877551,0.387755102040816,0.244897959183673
