timepoint,G1_phase,S_phase,G2M_phase
0,0.401253918,0.394984326,0.203761755
0.33,0.424547284,0.3138833,0.261569416
1,0.536866359,0.255760369,0.207373272
3,0.634980989,0.211026616,0.153992395
7,0.578947368,0.263157895,0.157894737
