timepoint,G1_phase,S_phase,G2M_phase
0,0.245689655,0.420258621,0.334051724
0.33,0.227166276,0.400468384,0.37236534
1,0.29022082,0.441640379,0.268138801
3,0.311627907,0.345736434,0.342635659
7,0.300847458,0.402542373,0.296610169
