timepoint,G1_phase,S_phase,G2M_phase
0,0.260504202,0.394957983,0.344537815
0.33,0.32034632,0.380952381,0.298701299
1,0.287356322,0.352490421,0.360153257
3,0.338797814,0.360655738,0.300546448
7,0.236607143,0.397321429,0.366071429
