timepoint,G1_phase,S_phase,G2M_phase
0,0.308016878,0.358649789,0.333333333
0.33,0.326829268,0.365853659,0.307317073
1,0.410835214,0.295711061,0.293453725
3,0.350282486,0.327683616,0.322033898
7,0.354943274,0.319286872,0.325769854
