timepoint,G1_phase,S_phase,G2M_phase
0,0.297461929,0.331979695,0.370558376
0.33,0.272126816,0.391017173,0.336856011
1,0.248334343,0.354330709,0.397334949
3,0.230201342,0.382550336,0.387248322
7,0.255319149,0.391707583,0.352973268

