timepoint,G1_phase,S_phase,G2M_phase
0,0.273875296,0.389897395,0.336227309
0.33,0.279686558,0.369499699,0.350813743
1,0.330946292,0.384143223,0.284910486
3,0.299686192,0.368200837,0.332112971
7,0.2654284,0.374475734,0.360095866

