timepoint,G1_phase,S_phase,G2M_phase
0,0.45,0.325,0.225
0.33,0.393861893,0.337595908,0.268542199
1,0.464891041,0.317191283,0.217917676
3,0.421768707,0.328798186,0.249433107
7,0.380136986,0.434931507,0.184931507

