timepoint,G1_phase,S_phase,G2M_phase
0,0.317784257,0.413994169,0.268221574
0.33,0.295116773,0.401273885,0.303609342
1,0.25729927,0.454379562,0.288321168
3,0.244956772,0.387608069,0.367435159
7,0.215240642,0.413101604,0.371657754
